185.177.72.202 - - [07/Aug/2025:23:06:55 +0000] "GET /secrets.json HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:56 +0000] "GET /secure-config.json HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:56 +0000] "GET /config/production.json HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:56 +0000] "GET /config/dev.json HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:56 +0000] "GET /config/default.json HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:56 +0000] "GET /application.yml HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:57 +0000] "GET /application.properties HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:57 +0000] "GET /src/main/resources/application.yml HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:57 +0000] "GET /.env.bak HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:57 +0000] "GET /.env_backup.txt HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
